key,ko,en,fr,it,de,es,ja,pt-BR,ru,zh-Hans
T,********************************************1. 촌장 구조*******************************************
p,촌장님!!!,Chief!!!,Chef !!!,Capo!!!,Chef!!!,¡Jefe!,村長！！！,Chefe!!!,Староста!!!,村长！！！
p,무사하셨군요!,You're safe!,Vous êtes sain et sauf !,Sei salvo!,Du bist in Sicherheit!,¡Está a salvo!,ご無事だったんですね！,Você está seguro!,Вы в порядке!,您没事真是太好了！
p,다치신 데는 없으세요?!,"You're not hurt, are you?!","Vous n'êtes pas blessé, n'est-ce pas ?!","Non siete ferito, vero?!","Sie sind nicht verletzt, oder?!","¡No está herido, verdad?!",お怪我はありませんか？！,"Você não está ferido, está?!",Вы ведь не ранены?!,您没受伤吧？！
p,(주변을 두리번거리며) 다른 분들은요? 루나 누나랑 포라 아주머니는 어디 계세요?!,(Looking around nervously) Where is everyone else? Where are Luna and Aunt Pora?!,(Regardant autour avec inquiétude) Où sont les autres ? Où sont Luna et tante Pora ?!,(Guardandosi intorno nervosamente) Dove sono gli altri? Dove sono Luna e zia Pora?!,(Schaut sich nervös um) Wo sind die anderen? Wo sind Luna und Tante Pora?!,(Mirando alrededor nerviosamente) ¿Dónde están los demás? ¿Dónde están Luna y la tía Pora?!,（辺りを見回しながら）みんなは？！ルナ姉ちゃんとポラおばさんはどこですか？！,(Olhando em volta nervosamente) Onde estão todos? Onde estão Luna e tia Pora?!,(Оглядываясь по сторонам) А где остальные? Где Луна и тётя Пора?!,（慌张地环顾四周）其他人呢？露娜姐姐和芙拉阿姨在哪儿？！
e,"(피코의 팔을 꽉 쥐며 진정시킨다) ...콜록, 난 괜찮단다. 진정하거라, 피코.","(Grabs Pico's arm tightly to calm him) ...Cough, I'm fine. Calm down, Pico.","(Attrape fermement le bras de Pico pour le calmer) ...Toux, je vais bien. Calme-toi, Pico.","(Afferra il braccio di Pico per calmarlo) ...Coff, sto bene. Calmati, Pico.","(Packt Picos Arm fest, um ihn zu beruhigen) ...Hust, mir geht es gut. Beruhige dich, Pico.","(Sujeta con fuerza el brazo de Pico para calmarlo) ...Cof, estoy bien. Tranquilízate, Pico.",（ピコの腕をぎゅっと掴んで落ち着かせる）...ゴホッ、わしは大丈夫じゃ。落ち着くんだ、ピコ。,"(Segura firmemente o braço de Pico para acalmá-lo) ...Cof, estou bem. Acalme-se, Pico.","(Крепко хватает Пико за руку, пытаясь успокоить) ...Кхе-кхе, со мной всё в порядке. Успокойся, Пико.","（紧紧抓住皮科的手臂让他冷静下来）...咳咳, 我没事。冷静点, 皮科。"
e,"피코, 넌 다친 데 없지?","Pico, you're not hurt, are you?","Pico, tu n'es pas blessé, n'est-ce pas ?","Pico, non sei ferito, vero?","Pico, du bist nicht verletzt, oder?","Pico, no estás herido, ¿verdad?",ピコ、お前は怪我しておらんか？,"Pico, você não está ferido, está?","Пико, ты ведь не ранен?","皮科, 你没受伤吧？"
p,"네, 전 멀쩡해요.","No, I'm fine.","Non, je vais bien.","No, sto bene.","Nein, mir geht es gut.","No, estoy bien.",はい、僕は大丈夫です。,"Não, estou bem.","Нет, я в порядке.","没有, 我没事。"
p,근데 마을이 왜 이렇게 된 걸까요?,But why did the village end up like this?,Mais pourquoi le village est-il devenu ainsi ?,Ma perché il villaggio è ridotto così?,Aber warum ist das Dorf so geworden?,Pero ¿por qué el pueblo terminó así?,でも、どうして村がこんなことに...？,Mas por que a vila ficou assim?,Но почему деревня стала такой?,可是村子为什么会变成这样？
e,(슬그머니 시선을 피하며) ...글쎄다.,(Avoids eye contact slightly) ...Who knows.,(Évite légèrement le regard) ...Qui sait.,(Distoglie leggermente lo sguardo) ...Chissà.,(Weicht dem Blick leicht aus) ...Wer weiß.,(Desvía la mirada ligeramente) ...Quién sabe.,（そっと視線を逸らしながら）...さあな。,(Desvia o olhar discretamente) ...Quem sabe.,(Немного отводит взгляд) ...Кто знает.,（悄悄移开视线）...谁知道呢。
e,갑자기 땅이 울리더니...,The ground suddenly started shaking...,Le sol s'est soudainement mis à trembler...,All'improvviso il terreno ha iniziato a tremare...,Plötzlich begann der Boden zu beben...,De repente la tierra empezó a temblar...,突然、大地が揺れ始めてな...,De repente o chão começou a tremer...,Вдруг земля начала дрожать...,突然大地开始震动...
e,"(피코의 손을 잡아보며) ...그나저나, 여전히 몸이 차구나.","(Takes Pico's hand) ...By the way, your body is still cold.","(Prend la main de Pico) ...Au fait, ton corps est toujours froid.","(Prende la mano di Pico) ...Comunque, il tuo corpo è ancora freddo.","(Nimmt Picos Hand) ...Übrigens, dein Körper ist immer noch kalt.","(Toma la mano de Pico) ...Por cierto, tu cuerpo sigue frío.",（ピコの手を取って）...それにしても、相変わらず冷たい身体だな。,"(Segura a mão de Pico) ...Aliás, seu corpo ainda está frio.","(Берёт Пико за руку) ...Кстати, твоё тело всё ещё холодное.","（握住皮科的手）...话说回来, 你的身体还是这么冰冷。"
p,원래 그렇잖아요.,That's how I've always been.,J'ai toujours été comme ça.,Sono sempre stato così.,Ich war schon immer so.,Siempre he sido así.,昔からこうですよ。,Sempre fui assim.,Я всегда был таким.,我一直都是这样。
